#Skill|done_this|URL or Note|YYYY[-MM]]
Algorithms|read_book|https://www.manning.com/books/grokking-algorithms|2017-03
Perl|wrote_q&a|http://perlmonks.org/?node_id=1184546|2017-03
Python|read_book|https://www.nostarch.com/pythoncrashcourse|2017-03
Sec|wrote_blog|https://github.com/jreisinger/blog/blob/master/posts/tcpdump.md|2016-05
Net|wrote_blog|https://github.com/jreisinger/blog/blob/master/posts/tcpdump.md|2016-05
Perl|wrote_script|check_ossec|2017-01
Perl|wrote_script|cat-ossec-keys|2017-01
Bash|wrote_script|https://github.com/skx/sysadmin-util/issues/17|2016
Perl|wrote_script|https://github.com/jreisinger/checkprocs|2016
Linux|read_book|https://www.nostarch.com/howlinuxworks2|2016
Perl|read_book|https://www.intermediateperl.com/|2016
Mngt|read_book|https://en.wikipedia.org/wiki/The_Phoenix_Project_(novel)|2016
Python|wrote_script|monitor|2016-12
Perl|wrote_blog|https://github.com/jreisinger/blog/blob/master/posts/module-build.md|2016-10
Perl|wrote_blog|https://github.com/jreisinger/blog/blob/master/posts/finding-good-cpan-module.md|2016-09
Sec|wrote_blog|https://github.com/jreisinger/blog/blob/master/posts/tcpdump.md|2016-05
Tools|wrote_blog|https://github.com/jreisinger/blog/blob/master/posts/vagrant.md|2016-05
